Title,Metascore,Platform,Release Date
NFL 2K3,92.0,GC,2002-08-21
SSX Tricky,92.0,PS2,2001-11-05
NHL 2002,92.0,PS2,2001-09-24
Guitar Hero II,92.0,X360,2007-04-03
Prince of Persia: The Sands of Time,92.0,PS2,2003-11-06
Uncharted 3: Drake's Deception,92.0,PS3,2011-11-01
Rock Band,92.0,X360,2007-11-20
Journey,92.0,PS4,2015-07-21
Bloodborne,92.0,PS4,2015-03-24
Eternal Darkness: Sanity's Requiem,92.0,GC,2002-06-23
Warcraft III: Reign of Chaos,92.0,PC,2002-07-03
SSX 3,92.0,GC,2003-10-20
The Sims,92.0,PC,2000-01-31
Banjo-Kazooie,92.0,N64,1998-05-31
Sid Meier's Gettysburg!,92.0,PC,1997-09-30
Rock Band 2,92.0,WII,2008-12-18
Forza Motorsport,92.0,XBOX,2005-05-03
Celeste,92.0,Switch,2018-01-25
Madden NFL 2004,92.0,XBOX,2003-08-12
Super Street Fighter IV,92.0,PS3,2010-04-27
World Soccer Winning Eleven 7 International,92.0,PC,2004-04-09
Advance Wars,92.0,GBA,2001-09-09
Vagrant Story,92.0,PS,2000-05-15
What Remains of Edith Finch,92.0,XONE,2017-07-19
Team Fortress 2,92.0,PC,2007-10-10
System Shock 2,92.0,PC,1999-08-11
Tom Clancy's Splinter Cell: Chaos Theory,92.0,PC,2005-03-28
Final Fantasy XII,92.0,PS2,2006-10-31
Undertale,92.0,PS4,2017-08-15
Madden NFL 2003,92.0,GC,2002-08-12
The Witcher 3: Wild Hunt,92.0,PS4,2015-05-19
Super Mario World: Super Mario Advance 2,92.0,GBA,2002-02-09
ESPN NFL 2K5,92.0,XBOX,2004-07-20
Super Smash Bros. Melee,92.0,GC,2001-12-02
Madden NFL 2003,92.0,XBOX,2002-08-12
Rome: Total War,92.0,PC,2004-09-22
Forza Motorsport 3,92.0,X360,2009-10-27
Okami HD,92.0,PC,2017-12-12
Undertale,92.0,PC,2015-09-15
Batman: Arkham Asylum,92.0,X360,2009-08-25
Super Mario Sunshine,92.0,GC,2002-08-25
SSX 3,92.0,XBOX,2003-10-20
SoulCalibur II,92.0,XBOX,2003-08-27
Tony Hawk's Pro Skater,92.0,PS,1999-08-31
Thief: The Dark Project,92.0,PC,1998-11-30
Fire Emblem: Awakening,92.0,3DS,2013-02-04
Age of Empires II: The Age of Kings,92.0,PC,1999-09-30
Final Fantasy X,92.0,PS2,2001-12-17
Prince of Persia: The Sands of Time,92.0,GC,2003-11-18
The Walking Dead: A Telltale Games Series,92.0,X360,2012-04-27
Unreal Tournament (1999),92.0,PC,1999-11-30
Sid Meier's Alpha Centauri,92.0,PC,1999-02-12
Wave Race 64,92.0,N64,1996-11-01
Galactic Civilizations II: Twilight of the Arnor,92.0,PC,2008-04-30
Super Smash Bros. for Wii U,92.0,WIIU,2014-11-21
Guitar Hero II,92.0,PS2,2006-11-07
Final Fantasy VII,92.0,PS,1997-09-03
Rock Band,92.0,PS3,2007-11-20
Chrono Trigger,92.0,DS,2008-11-25
Bayonetta 2,92.0,Switch,2018-02-16
Journey,92.0,PS3,2012-03-13
Xenoblade Chronicles,92.0,WII,2012-04-06
INSIDE,92.0,Switch,2018-06-28
Conker's Bad Fur Day,92.0,N64,2001-03-04
Medal of Honor,92.0,PS,1999-10-31
PaRappa the Rapper,92.0,PS,1997-10-31
Rock Band 2,92.0,X360,2008-09-14
Mario Kart 8 Deluxe,92.0,Switch,2017-04-28
The ICO & Shadow of the Colossus Collection,92.0,PS3,2011-09-27
Rayman Origins,92.0,WII,2011-11-15
Metroid Prime 2: Echoes,92.0,GC,2004-11-15
Out of the Park Baseball 17,92.0,PC,2016-03-22
Metroid Fusion,92.0,GBA,2002-11-17
The Witcher 3: Wild Hunt - Blood and Wine,92.0,PC,2016-05-30
Final Fantasy VI Advance,92.0,GBA,2007-02-05
Rayman Legends,92.0,WIIU,2013-09-03
Tiger Woods PGA Tour 2003,92.0,PC,2002-10-31
Madden NFL 2005,91.0,XBOX,2004-08-09
Super Street Fighter IV,91.0,X360,2010-04-27
Pac-Man Championship Edition DX,91.0,PS3,2010-11-23
Rock Band 2,91.0,PS3,2008-10-19
Dark Souls II,91.0,X360,2014-03-11
Dishonored,91.0,PC,2012-10-08
ESPN NFL Football,91.0,PS2,2003-09-03
Medal of Honor: Allied Assault,91.0,PC,2002-01-20
Myth: The Fallen Lords,91.0,PC,1997-10-31
LittleBigPlanet 2,91.0,PS3,2011-01-18
Guitar Hero,91.0,PS2,2005-11-07
World of Warcraft: Wrath of the Lich King,91.0,PC,2008-11-13
Rock Band 3,91.0,WII,2010-10-26
Metroid Prime Trilogy,91.0,WII,2009-08-24
Overwatch,91.0,PC,2016-05-23
F1 Challenge '99-'02,91.0,PC,2003-06-24
Tony Hawk's Pro Skater 4,91.0,GC,2002-10-23
Madden NFL 2001,91.0,PS2,2000-10-23
Baldur's Gate,91.0,PC,1998-11-30
Bayonetta 2,91.0,WIIU,2014-09-20
The Witcher 3: Wild Hunt,91.0,XONE,2015-05-19
Rock Band 3,91.0,PS3,2010-10-26
Klonoa 2: Lunatea's Veil,91.0,PS2,2001-07-25
IL-2 Sturmovik,91.0,PC,2001-11-18
Mario Tennis,91.0,N64,2000-08-28
FreeSpace 2,91.0,PC,1999-09-30
Colony Wars,91.0,PS,1997-10-31
Metal Gear Solid V: The Phantom Pain,91.0,PC,2015-09-01
Ratchet & Clank: Up Your Arsenal,91.0,PS2,2004-11-03
Resident Evil,91.0,GC,2002-04-30
FIFA Soccer 10,91.0,PS3,2009-10-20
Assassin's Creed II,91.0,PS3,2009-11-17
Metal Gear Solid 3: Snake Eater,91.0,PS2,2004-11-17
Twisted Metal: Black,91.0,PS2,2001-06-18
Spyro: Year of the Dragon,91.0,PS,2000-10-23
Tomb Raider,91.0,PS,1996-11-15
Overwatch,91.0,XONE,2016-05-23
Resident Evil 4: Wii Edition,91.0,WII,2007-06-19
Shadow of the Colossus,91.0,PS2,2005-10-18
Forza Horizon 3,91.0,XONE,2016-09-23
Peggle,91.0,PS3,2009-11-19
The Legend of Zelda: Ocarina of Time / Master Quest,91.0,GC,2003-02-28
Borderlands 2,91.0,PS3,2012-09-18
Tom Clancy's Splinter Cell,91.0,PC,2003-02-19
Kentucky Route Zero - Act III,91.0,PC,2014-05-06
NCAA Football 2003,91.0,PS2,2002-07-20
Crysis,91.0,PC,2007-11-13
Ninja Gaiden,91.0,XBOX,2004-03-02
God of War: Chains of Olympus,91.0,PSP,2008-03-04
DOA2: Hardcore,91.0,PS2,2000-10-25
World of Warcraft: The Burning Crusade,91.0,PC,2007-01-16
MLB 10: The Show,91.0,PS3,2010-03-02
Shadow of the Colossus,91.0,PS4,2018-02-06
Yoshi's Island: Super Mario Advance 3,91.0,GBA,2002-09-24
The Witcher 3: Wild Hunt - Blood and Wine,91.0,PS4,2016-05-30
