Title,Metascore,Platform,Release Date
The Godfather: The Don's Edition,70.0,PS3,2007-03-20
Cities XL 2011,70.0,PC,2010-10-14
Sudden Strike 4,70.0,PC,2017-08-11
CIMA: The Enemy,70.0,GBA,2003-11-17
Hunter: The Reckoning,70.0,GC,2002-11-18
Mat Hoffman's Pro BMX 2,70.0,GC,2002-10-08
Crash Bandicoot: The Wrath of Cortex,70.0,XBOX,2002-04-15
Okage: Shadow King,70.0,PS2,2001-10-01
ESPN Final Round Golf 2002,70.0,GBA,2001-08-28
Echelon,70.0,PC,2001-05-16
Soulbringer,70.0,PC,2000-07-10
Red Faction: Guerrilla Re-Mars-tered,70.0,PS4,2018-07-03
Elefunk,70.0,PS3,2008-07-17
The Sims 4,70.0,PC,2014-09-02
Project X Zone,70.0,3DS,2013-06-25
Lost Planet: Extreme Condition Colonies Edition,70.0,PC,2008-05-27
Assassin's Creed Unity,70.0,PS4,2014-11-11
Shining Resonance Refrain,70.0,Switch,2018-07-10
Pinball Hall of Fame - The Gottlieb Collection,70.0,XBOX,2004-11-18
Guitar Hero: Aerosmith,70.0,PS3,2008-06-29
Kung Fu Panda,70.0,WII,2008-06-03
Wet,70.0,PS3,2009-09-15
Marvel's Guardians of the Galaxy - Episode 2: Under Pressure,70.0,PS4,2017-06-06
Star Wars Battlefront: Outer Rim,70.0,PS4,2016-04-05
Retrovirus,70.0,PC,2013-01-31
Tomb Raider: Underworld,70.0,DS,2008-11-18
Thrillville: Off the Rails,70.0,PS2,2007-10-09
Nostradamus: The Last Prophecy,70.0,PC,2007-09-30
Midway Arcade Treasures Deluxe Edition,70.0,PC,2006-02-17
UFC Personal Trainer: The Ultimate Fitness System,70.0,X360,2011-06-28
Mercenaries 2: World in Flames,70.0,PC,2008-09-04
Resident Evil 0: HD Remaster,70.0,PS4,2016-01-19
TimeShift,70.0,PS3,2007-11-19
Prince of Persia: Rival Swords,70.0,WII,2007-04-03
Call of Duty: Ghosts - Devastation,70.0,XONE,2014-04-03
Nancy Drew: Danger By Design,70.0,PC,2006-07-11
Dracula: Origin,70.0,PC,2008-05-23
Real Soccer 2009,70.0,DS,2008-11-04
Homefront,70.0,PC,2011-03-14
The Moment of Silence,70.0,PC,2005-03-01
Vampyr,70.0,XONE,2018-06-05
Virtua Tennis 2009,70.0,X360,2009-06-09
Tricky Towers,70.0,XONE,2017-09-15
Pix the Cat,70.0,XONE,2017-02-08
Disney Universe,70.0,PS3,2011-10-25
Pride of Nations,70.0,PC,2011-06-07
Puddle,70.0,WIIU,2013-01-31
Pid,70.0,PS3,2012-11-06
LEGO Indiana Jones 2: The Adventure Continues,70.0,PS3,2009-11-17
Rainbow Moon,70.0,VITA,2013-12-03
Touhou Genso Wanderer,70.0,PS4,2017-03-21
Mr. Driller: Drill Spirits,70.0,DS,2004-11-30
Wallace & Gromit: Curse of the Were-Rabbit,70.0,XBOX,2005-09-29
Game of Thrones: Episode Three - The Sword in the Darkness,70.0,PS4,2015-03-24
Fate of the World,70.0,PC,2011-02-28
Tiger Woods PGA Tour 10,70.0,PSP,2009-06-08
CellFactor: Psychokinetic Wars,70.0,X360,2009-06-03
Art Style: ROTOHEX,70.0,WII,2008-10-27
Shrek SuperSlam,70.0,GC,2005-10-25
Ferrari F355 Challenge,70.0,PS2,2002-09-28
NCAA College Football 2K3,70.0,GC,2002-09-09
Turok: Evolution,70.0,GC,2002-08-31
Zax: The Alien Hunter,70.0,PC,2001-10-09
Grand Theft Auto 2,70.0,PS,1999-10-25
Dragon Ball Z: Shin Budokai,70.0,PSP,2006-03-07
Neopets Puzzle Adventure,70.0,DS,2008-11-25
Aero Porter,70.0,3DS,2012-11-29
Enslaved: Odyssey to the West,70.0,PC,2013-10-24
Tom Clancy's Ghost Recon Phantoms,70.0,PC,2012-08-15
L.A. Noire: Nicholson Electroplating Disaster,70.0,X360,2011-06-21
Beat City,70.0,DS,2010-04-20
The King of Fighters Collection: The Orochi Saga,70.0,WII,2008-12-02
Fallout: New Vegas - Dead Money,70.0,X360,2010-12-21
Mortal Kombat: Unchained,70.0,PSP,2006-11-13
Homefront,70.0,PS3,2011-03-15
The Spectrum Retreat,70.0,PC,2018-07-13
Mana Khemia 2: Fall of Alchemy,70.0,PS2,2009-08-25
Syphon Filter: Dark Mirror,70.0,PS2,2007-09-18
Dead Star,70.0,PS4,2016-04-05
Sengoku,70.0,PC,2011-09-13
Polar Panic,70.0,X360,2009-12-23
Sega Superstars Tennis,70.0,PS2,2008-03-18
Heroes of Might and Magic V: Tribes of the East,70.0,PC,2007-10-16
Art Style: AQUIA,70.0,DS,2009-04-05
Test Drive Unlimited 2,70.0,PS3,2011-02-08
Pariah,70.0,XBOX,2005-05-03
Yager,70.0,XBOX,2004-10-05
Apache: Air Assault,70.0,X360,2010-11-16
LEGO Universe,70.0,PC,2010-10-26
Super Mario All-Stars: 25th Anniversary Edition,70.0,WII,2010-12-12
Resident Evil: Chronicles HD Collection,70.0,PS3,2012-06-26
Scene It? Movie Night,70.0,X360,2011-11-30
Pokemon Battle Trozei,70.0,3DS,2014-03-20
Deception IV: Blood Ties,70.0,PS3,2014-03-25
EA Sports UFC,70.0,PS4,2014-06-17
Grow Up,70.0,PS4,2016-08-16
Monopoly,70.0,WII,2008-10-20
The Bard's Tale,70.0,PC,2005-06-27
Alice: Madness Returns,70.0,PS3,2011-06-14
Tokyo Dark,70.0,PC,2017-09-07
Advent Rising,70.0,PC,2005-08-09
UEFA Euro 2012,70.0,X360,2012-04-24
Two Worlds II,70.0,PS3,2011-01-25
Guitar Hero On Tour: Modern Hits,70.0,DS,2009-06-09
That's You!,70.0,PS4,2017-07-04
Planetbase,70.0,XONE,2017-05-03
Mr. Shifty,70.0,PC,2017-04-13
Richard & Alice,70.0,PC,2013-02-21
X-Men: The Arcade Game,70.0,X360,2010-12-15
MLB Power Pros 2008,70.0,DS,2008-08-25
Delta Force: Black Hawk Down - Team Sabre,70.0,PC,2004-01-20
World War II: Frontline Command,70.0,PC,2003-06-27
ATV Quad Power Racing 2,70.0,GC,2003-01-22
Ty the Tasmanian Tiger,70.0,PS2,2002-09-10
Confidential Mission,70.0,DC,2001-05-14
Ready 2 Rumble Boxing: Round 2,70.0,DC,2000-10-23
Code Name: S.T.E.A.M.,69.0,3DS,2015-03-13
F1 2009,69.0,WII,2009-11-16
EVE Online,69.0,PC,2003-05-06
The Punisher (2005),69.0,XBOX,2005-01-17
Ironclad Tactics,69.0,PC,2013-09-18
Rogue Trooper,69.0,PC,2006-05-23
Halfway,69.0,PC,2014-07-22
Flame Over,69.0,VITA,2015-03-10
City of Brass,69.0,PC,2018-05-04
World Gone Sour,69.0,X360,2012-04-11
The Secrets of Da Vinci: The Forbidden Manuscript,69.0,PC,2006-06-07
Worms 4: Mayhem,69.0,XBOX,2005-10-04
Worms 3D,69.0,XBOX,2005-03-01
Pokemon Super Mystery Dungeon,69.0,3DS,2015-11-20
Pneuma: Breath of Life,69.0,PS4,2015-07-07
Wild Arms 4,69.0,PS2,2006-01-10
Dance Dance Revolution: Mario Mix,69.0,GC,2005-10-24
Fortified,69.0,XONE,2016-02-03
The Crew 2,69.0,XONE,2018-06-26
The Fidelio Incident,69.0,PC,2017-05-23
Ultimate Band,69.0,DS,2008-11-18
Pokemon Ranger,69.0,DS,2006-10-30
Monster House,69.0,GBA,2006-07-18
Shining Force Neo,69.0,PS2,2005-10-20
Supreme Ruler 2010,69.0,PC,2005-05-12
Clandestine,69.0,PC,2015-11-05
Master of Illusion,69.0,DS,2007-11-26
Speed Racer,69.0,WII,2008-05-06
Final Fantasy Explorers,69.0,3DS,2016-01-26
Pure Farming 2018,69.0,PC,2018-03-13
Gradius ReBirth,69.0,WII,2009-03-09
Archangel,69.0,PS4,2017-07-18
River City: Tokyo Rumble,69.0,3DS,2016-09-27
The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,69.0,XONE,2018-08-14
Nancy Drew: The Phantom of Venice,69.0,PC,2008-07-11
Cars 2: The Video Game,69.0,WII,2011-06-21
Mario Hoops: 3 on 3,69.0,DS,2006-09-11
Sorcery! Parts 1 and 2,69.0,PC,2016-02-02
Styx: Master of Shadows,69.0,XONE,2014-10-08
Invizimals,69.0,PSP,2010-10-12
Super Stardust Portable,69.0,PSP,2008-12-04
Shark Tale,69.0,GC,2004-09-27
Chrome,69.0,PC,2003-10-28
Rally Fusion: Race of Champions,69.0,XBOX,2002-11-29
Age of Sail II: Privateer's Bounty,69.0,PC,2002-08-13
Herdy Gerdy,69.0,PS2,2002-03-04
MXRider,69.0,PS2,2001-10-30
Kororinpa: Marble Mania,69.0,WII,2007-03-20
The Walking Dead: The Telltale Series - A New Frontier,69.0,PC,2016-12-20
Kingdom Come: Deliverance,69.0,PS4,2018-02-13
Rhem 3: The Secret Library,69.0,PC,2008-02-28
Lost in Blue,69.0,DS,2005-09-27
Full Spectrum Warrior: Ten Hammers,69.0,XBOX,2006-03-28
The Walking Dead: Michonne - Episode 1: In Too Deep,69.0,PC,2016-02-23
EVE: Valkyrie,69.0,PC,2016-11-17
Diaries of a Spaceport Janitor,69.0,PC,2016-09-16
Starwhal,69.0,XONE,2015-12-09
Ashes of the Singularity,69.0,PC,2016-03-31
Mario Tennis Open,69.0,3DS,2012-05-20
Thief,69.0,XONE,2014-02-25
Aeon Flux,69.0,XBOX,2005-11-17
Transformers Animated: The Game,69.0,DS,2008-10-21
Song of the Deep,69.0,PS4,2016-07-12
Age of Empires: Definitive Edition,69.0,PC,2018-02-20
Mana Khemia: Alchemists of Al-Revis,69.0,PS2,2008-04-01
"What Did I Do to Deserve This, My Lord!?",69.0,PSP,2009-07-16
Battleborn,69.0,PC,2016-05-03
Light Fall,69.0,PC,2018-04-26
Korix,69.0,PS4,2017-03-29
Abyss Odyssey,69.0,PC,2014-07-15
Panzer Tactics HD,69.0,PC,2014-05-22
Cars Mater-National Championship,69.0,DS,2007-10-29
Driver: Parallel Lines,69.0,PS2,2006-03-14
Disney's Cinderella: Magical Dreams,69.0,GBA,2005-09-20
Dragon Ball GT: Transformation,69.0,GBA,2005-08-09
Rondo of Swords,69.0,DS,2008-04-15
Mystery Dungeon: Shiren the Wanderer,69.0,DS,2008-03-04
Crazy Taxi 3: High Roller,69.0,XBOX,2002-07-24
Harry Potter and the Order of the Phoenix,69.0,WII,2007-06-25
Sword Art Online: Hollow Realization,69.0,PS4,2016-11-08
Absolver,69.0,PS4,2017-08-29
Magical Starsign,69.0,DS,2006-10-23
Ride 2,69.0,PS4,2017-02-14
God Eater 2: Rage Burst,69.0,PS4,2016-08-30
Ty the Tasmanian Tiger 2: Bush Rescue,69.0,XBOX,2004-10-12
Wings of War,69.0,PC,2004-08-30
Neighbors from Hell,69.0,PC,2003-09-22
IndyCar Series,69.0,PS2,2003-05-21
The Sum of All Fears,69.0,GBA,2002-11-19
Outlaw Golf,69.0,GC,2002-10-29
Spring Break,69.0,PC,2002-09-10
Crazy Taxi,69.0,GC,2001-11-17
Trade Empires,69.0,PC,2001-09-17
Sudden Strike,69.0,PC,2001-01-23
Duck Dodgers Starring Daffy Duck,69.0,N64,2000-09-16
Deep Fighter: The Tsunami Offense,69.0,DC,2000-08-22
NCAA GameBreaker 2001,69.0,PS,2000-08-21
Alien Breed: Evolution,69.0,X360,2009-12-16
Mercenary Kings: Reloaded Edition,69.0,Switch,2018-02-06
We Were Here Too,69.0,PC,2018-02-02
Livelock,69.0,PS4,2016-08-30
Nightmares from the Deep 2: The Siren's Call,69.0,XONE,2016-08-26
Deadlight: Director's Cut,69.0,XONE,2016-06-21
Fruit Ninja Kinect 2,69.0,XONE,2015-03-18
Gratuitous Tank Battles,69.0,PC,2012-05-17
World Series of Poker: Tournament of Champions,69.0,X360,2006-09-21
LEGO The Hobbit,69.0,XONE,2014-04-08
Manhunt 2,69.0,PSP,2007-10-29
Broken Sword 5: The Serpents' Curse - Part I,69.0,PC,2013-12-04
PQ: Practical Intelligence Quotient,69.0,PSP,2006-01-10
Section 8,69.0,X360,2009-09-01
NBA Ballers: Rebound,69.0,PSP,2006-05-09
Black & White 2 - Battle of the Gods,69.0,PC,2006-04-24
Fusion: Genesis,69.0,X360,2011-11-09
SimCity DS,69.0,DS,2007-06-19
Mayan Death Robots,69.0,PC,2015-11-20
Tom Clancy's Ghost Recon: Wildlands,69.0,PC,2017-03-07
Murasaki Baby,69.0,VITA,2014-09-16
Magicka 2,69.0,PC,2015-05-26
Magician's Quest: Mysterious Times,69.0,DS,2009-05-11
Enchanted Arms,69.0,X360,2006-08-29
The Sun and Moon,69.0,XONE,2017-01-27
Guitar Hero Encore: Rocks the 80s,69.0,PS2,2007-07-24
Harry Potter and the Prisoner of Azkaban,69.0,GBA,2004-05-25
Gladiator: Sword of Vengeance,69.0,PC,2003-11-18
Ty the Tasmanian Tiger,69.0,GC,2002-09-10
Motocross Maniacs Advance,69.0,GBA,2002-03-21
4x4 EVO 2,69.0,PC,2001-10-30
Prehistorik Man,69.0,GBA,2001-10-16
NASCAR Thunder 2002,69.0,PS,2001-10-02
Destruction Derby Raw,69.0,PS,2000-09-26
D2,69.0,DC,2000-08-22
Earth Defense Force 2017,69.0,X360,2007-03-20
.hack//G.U. vol. 1//Rebirth,69.0,PS2,2006-10-24
Under Siege,69.0,PS3,2011-06-02
Star Wars: Battlefront II,69.0,PSP,2005-10-31
One Piece: Grand Battle,69.0,PS2,2005-09-07
Driver: Parallel Lines,69.0,XBOX,2006-03-14
Deception IV: The Nightmare Princess,69.0,PS4,2015-07-14
Need for Speed: The Run,69.0,PC,2011-11-15
"Guns, Gore & Cannoli",69.0,XONE,2015-09-25
Hyperdimension Neptunia Re;Birth1,69.0,VITA,2014-08-26
Trouble Witches Neo!,69.0,X360,2011-04-27
Tower of Guns,69.0,PS4,2015-04-10
NCAA March Madness 08,69.0,X360,2007-12-11
The Long Reach,69.0,XONE,2018-07-18
The Golf Club 2,69.0,XONE,2017-06-27
SimCity Creator,69.0,DS,2008-09-22
Dr. Mario: Miracle Cure,69.0,3DS,2015-06-11
AER: Memories of Old,69.0,PC,2017-10-25
Wet,69.0,X360,2009-09-15
DOOM VFR,69.0,PC,2017-11-30
The Simpsons Arcade Game,69.0,PS3,2012-02-07
Harvest Moon: Magical Melody,69.0,WII,2009-08-25
RiftStar Raiders,69.0,PS4,2018-02-27
BADLAND: Game of the Year Edition,69.0,XONE,2015-05-29
The Conduit,69.0,WII,2009-06-23
NHL 2K9,69.0,X360,2008-09-08
DESYNC,69.0,PC,2017-02-28
HoopWorld,69.0,WII,2010-07-19
Assassin's Creed II: Discovery,69.0,DS,2009-11-17
Rag Doll Kung Fu,69.0,PC,2005-10-12
Harry Potter: Quidditch World Cup,69.0,PC,2003-10-28
The Haunted Mansion,69.0,PS2,2003-10-14
Iron Storm,69.0,PC,2002-10-25
Castlevania Chronicles,69.0,PS,2001-10-08
Xtreme Sports,69.0,DC,2000-11-27
Sports Champions 2,69.0,PS3,2012-10-30
Mirror's Edge Catalyst,69.0,PS4,2016-06-07
Final Fantasy Type-0 HD,69.0,PC,2015-08-18
Dragon Age: Origins - Return to Ostagar,69.0,PC,2010-01-13
Donkey Konga 2,69.0,GC,2005-05-09
NASCAR 09,69.0,X360,2008-06-10
Fate/Extella: The Umbral Star,69.0,Switch,2017-07-25
Crimsonland,69.0,XONE,2015-10-14
Battle Princess of Arcadias,69.0,PS3,2014-06-17
Tony Hawk's Downhill Jam,69.0,WII,2006-11-14
DreamWorks Shrek SuperSlam,69.0,PC,2005-11-01
Octodad: Dadliest Catch,69.0,PS4,2014-04-22
Magicka: Wizard Wars,69.0,PC,2014-05-27
Ninja Gaiden 3: Razor's Edge,69.0,WIIU,2012-11-18
The Bunker,69.0,PS4,2016-09-20
The Grim Adventures of Billy & Mandy,69.0,GC,2006-09-25
Tony Hawk's American Wasteland,69.0,PC,2006-02-01
Monsters vs. Aliens,69.0,WII,2009-03-24
Gyrostarr,69.0,WII,2008-06-23
NBA 10 The Inside,69.0,PSP,2009-10-06
Star Fox Zero,69.0,WIIU,2016-04-22
Duke Nukem 3D: Megaton Edition,69.0,VITA,2015-01-06
BloodRayne: Betrayal,69.0,PS3,2011-09-06
Dynasty Warriors 8: Xtreme Legends Complete Edition,69.0,PS4,2014-03-25
Shark Tale,69.0,PS2,2004-09-27
Magna Carta 2,69.0,X360,2009-10-13
SNK Arcade Classics Vol. 1,69.0,PS2,2008-05-05
Shinobi,69.0,3DS,2011-11-15
Glory of Heracles,69.0,DS,2010-01-18
NiGHTS: Journey of Dreams,69.0,WII,2007-12-18
NBA Ballers: Phenom,69.0,PS2,2006-04-05
Blitz: The League,69.0,X360,2006-11-13
The King of Fighters: Maximum Impact - Maniax,69.0,XBOX,2005-06-28
Q.U.B.E.,69.0,PC,2011-12-17
Ghost Squad,69.0,WII,2007-11-20
Earth Atlantis,69.0,XONE,2018-06-01
Uno,69.0,Switch,2017-11-07
De Mambo,69.0,Switch,2017-07-13
The Signal From Tolva,69.0,PC,2017-04-10
ClusterTruck,69.0,XONE,2016-10-28
Super Exploding Zoo,69.0,PS4,2015-06-02
Toybox Turbos,69.0,PC,2014-11-11
Minimum,69.0,PC,2014-09-10
Risen 2: Dark Waters,69.0,PC,2012-04-24
nail'd,69.0,PC,2010-11-30
Cryostasis: The Sleep of Reason,69.0,PC,2009-04-24
Tom Clancy's EndWar,69.0,DS,2008-11-04
Silent Scope Complete,69.0,XBOX,2004-02-10
The Haunted Mansion,69.0,GC,2003-10-14
Haven: Call of the King,69.0,PS2,2002-11-17
Defender,69.0,XBOX,2002-10-22
Leadfoot,69.0,PC,2001-06-01
Operation Flashpoint: Red River,69.0,X360,2011-06-07
Battlefield Heroes,69.0,PC,2009-06-25
Alone in the Dark: Inferno,69.0,PS3,2008-11-18
Sonic and the Secret Rings,69.0,WII,2007-02-20
NBA Live 07,69.0,XBOX,2006-09-25
RPG Maker 3,69.0,PS2,2005-09-21
R-Type Command,69.0,PSP,2008-05-06
Lost Sphear,69.0,Switch,2018-01-23
Blue Dragon Plus,69.0,DS,2009-02-19
Of Orcs and Men,69.0,PC,2012-10-11
Forgotten Realms: Demon Stone,69.0,PC,2004-12-09
Marc Ecko's Getting Up: Contents Under Pressure,69.0,PS2,2006-02-14
Marc Ecko's Getting Up: Contents Under Pressure,69.0,PC,2006-02-14
Star Hammer: The Vanguard Prophecy,69.0,PC,2015-06-04
Bionic Commando,69.0,PC,2009-07-28
1942: Joint Strike,69.0,PS3,2008-07-24
Cobalt,69.0,PC,2016-02-02
Knack 2,69.0,PS4,2017-09-05
Golf: Tee It Up!,69.0,X360,2008-07-09
Lost Sphear,69.0,PC,2018-01-23
FIFA Soccer 13,69.0,WIIU,2012-11-13
MotoGP 09/10,69.0,X360,2010-03-23
Pro Evolution Soccer 2017,69.0,PC,2016-09-13
Tom Clancy's The Division - Underground,69.0,XONE,2016-06-28
The Dark Spire,69.0,DS,2009-04-14
Sea of Thieves,69.0,XONE,2018-03-20
The Spectrum Retreat,69.0,XONE,2018-07-13
Okhlos,69.0,PC,2016-08-18
Lume,69.0,PC,2011-05-09
Rust,69.0,PC,2018-02-08
The Walking Dead: The Telltale Series - A New Frontier Episode 3: Above the Law,69.0,PS4,2017-03-28
SWAT: Global Strike Team,69.0,PS2,2003-10-29
Freaky Flyers,69.0,GC,2003-08-08
Hulk,69.0,XBOX,2003-05-27
Combat Flight Simulator 3: Battle for Europe,69.0,PC,2002-10-25
Eurofighter Typhoon,69.0,PC,2001-07-30
Strider 2,69.0,PS,2000-07-29
Silhouette Mirage,69.0,PS,1999-12-31
Tumble VR,69.0,PS4,2016-10-10
Buzz! Junior: Dino Den,69.0,PS2,2008-09-25
FreeStyle Street Basketball,69.0,PC,2007-05-15
The Simpsons Game,69.0,DS,2007-10-30
Gang Beasts,69.0,PS4,2017-12-12
Earth Defense Force 2025,69.0,PS3,2014-02-18
Football Manager Handheld 2010,69.0,PSP,2009-12-22
Chaos League: Sudden Death,69.0,PC,2005-12-08
Madagascar,69.0,PS2,2005-05-23
Swarm,69.0,X360,2011-03-23
Resident Evil 6,69.0,PC,2013-03-22
Magic: The Gathering - Duels of the Planeswalkers,69.0,PC,2010-06-15
Serious Sam HD: The First Encounter,69.0,X360,2010-01-13
Kirby's Blowout Blast,69.0,3DS,2017-07-06
NHL 2K10,69.0,X360,2009-09-15
Order of War,69.0,PC,2009-09-22
Dead or Alive 5: Last Round,69.0,XONE,2015-02-17
Foul Play,69.0,X360,2013-09-18
Bejeweled 2 Deluxe,69.0,X360,2005-11-22
Akimi Village,69.0,PS3,2011-06-15
Ancients of Ooga,69.0,X360,2010-06-30
Need for Speed: Nitro,69.0,WII,2009-11-02
Fire Emblem Warriors,69.0,3DS,2017-10-20
Def Jam: Icon,69.0,X360,2007-03-06
Pariah,69.0,PC,2005-05-03
Mad Max,69.0,PS4,2015-09-01
Valhalla Hills,69.0,PC,2015-12-02
Scaler,69.0,XBOX,2004-10-20
Capcom Arcade Cabinet,69.0,PS3,2013-02-19
The Eye of Judgment: Legends,69.0,PSP,2010-03-10
Harry Potter and the Goblet of Fire,69.0,GC,2005-11-08
Hey! Pikmin,69.0,3DS,2017-07-28
Rayman 3 HD,69.0,X360,2012-03-21
ChromaGun,69.0,Switch,2018-01-22
Oblitus,69.0,PC,2015-02-27
Poker Night 2,69.0,X360,2013-04-24
Ghosthunter,69.0,PS2,2004-08-17
Foul Play,69.0,PC,2013-09-18
Real Boxing,69.0,VITA,2013-09-17
Final Fantasy IV: The After Years,69.0,WII,2009-06-01
Gallop Racer 2006,69.0,PS2,2006-05-02
Lightning Returns: Final Fantasy XIII,69.0,X360,2014-02-11
Need for Speed: Shift,69.0,PSP,2009-09-15
Tron 2.0: Killer App,69.0,XBOX,2004-11-04
Forsaken World,69.0,PC,2011-03-22
Lips: Party Classics,69.0,X360,2010-03-02
Disney's Chicken Little: Ace in Action,69.0,PS2,2006-11-09
Mario Party 5,69.0,GC,2003-11-10
SWAT: Global Strike Team,69.0,XBOX,2003-10-29
Harry Potter: Quidditch World Cup,69.0,XBOX,2003-10-28
Scooby-Doo! Night of 100 Frights,69.0,PS2,2002-05-20
1nsane,69.0,PC,2001-02-05
Oni,69.0,PS2,2001-01-29
Quake III: Team Arena,69.0,PC,2000-12-18
Broken Sword: The Smoking Mirror,69.0,PC,1997-10-31
LEGO The Incredibles,69.0,PS4,2018-06-15
Runespell: Overture,69.0,PC,2011-07-20
Ivy the Kiwi?,69.0,DS,2010-08-24
Blazing Angels: Squadrons of WWII,69.0,XBOX,2006-03-23
Thrillville,69.0,PS2,2006-11-21
Turok,69.0,X360,2008-02-05
Resident Evil 0: HD Remaster,69.0,XONE,2016-01-19
Farming Simulator 17,69.0,PS4,2016-10-25
I Am Alive,69.0,X360,2012-03-07
Conan,69.0,X360,2007-10-23
The Bureau: XCOM Declassified,69.0,PS3,2013-08-20
World of Warplanes,69.0,PC,2013-11-13
The Matrix: Path of Neo,69.0,PS2,2005-11-07
Phantasy Star Portable 2,69.0,PSP,2010-09-13
Jack Keane,69.0,PC,2008-04-15
Arslan: The Warriors of Legend,69.0,PS4,2016-02-09
Silent Line: Armored Core,69.0,PS2,2003-07-17
FOX n FORESTS,69.0,PC,2018-05-17
InnerSpace,69.0,PS4,2018-01-16
.hack//G.U. Last Recode,69.0,PC,2017-11-03
The Legend of Kusakari,69.0,3DS,2016-08-25
Mario Super Sluggers,69.0,WII,2008-08-25
Enemy Territory: Quake Wars,69.0,X360,2008-05-27
NFL Head Coach,69.0,XBOX,2006-06-20
Brain Age: Concentration Training,69.0,3DS,2013-02-10
Duel Masters: Sempai Legends,69.0,GBA,2004-06-01
LEGO Worlds,69.0,XONE,2017-03-07
Game of Thrones: Episode Two - The Lost Lords,69.0,PS4,2015-02-03
Quake Arena Arcade,69.0,X360,2010-12-15
The LEGO Movie Videogame,69.0,X360,2014-02-07
Dance Dance Revolution: Hottest Party 2,69.0,WII,2008-09-12
State of Decay 2,69.0,PC,2018-05-22
Thunder Wolves,69.0,PC,2013-05-15
Frogger: Helmet Chaos,69.0,DS,2005-09-27
Call of Duty 3,69.0,WII,2006-11-14
Slain: Back from Hell,69.0,XONE,2016-10-21
Exist Archive: The Other Side of the Sky,69.0,PS4,2016-10-18
Scaler,69.0,GC,2004-11-17
Octodad: Dadliest Catch,69.0,PC,2014-01-30
Heroes of Ruin,69.0,3DS,2012-07-17
Shift Happens,69.0,XONE,2017-02-22
Touch My Katamari,69.0,VITA,2012-02-21
Crash Nitro Kart,69.0,PS2,2003-11-11
Clock Tower 3,69.0,PS2,2003-03-18
Ultima Online: Third Dawn,69.0,PC,2001-03-26
Burnout Crash!,69.0,PS3,2011-09-20
Silent Hill HD Collection,69.0,X360,2012-03-20
Resident Evil 5,69.0,PS4,2016-06-28
The Matrix Online,69.0,PC,2005-03-22
Assassin's Creed Chronicles: China,69.0,PS4,2015-04-21
Medal of Honor Heroes 2,69.0,PSP,2007-11-13
Tony Hawk's Project 8,69.0,PS2,2006-11-07
1979 Revolution: Black Friday,69.0,PS4,2018-07-31
Raging Justice,69.0,XONE,2018-05-08
Fragments of Him,69.0,PC,2016-05-03
Game of Thrones: A Telltale Games Series,69.0,PS4,2015-11-17
Paperbound,69.0,PS4,2015-03-31
Lichdom: Battlemage,69.0,PC,2014-03-19
The LEGO Movie Videogame,69.0,XONE,2014-02-07
Max & the Magic Marker: Gold Edition,69.0,PS3,2011-11-01
Crash of the Titans,69.0,WII,2007-10-04
From Russia With Love,69.0,PS2,2005-11-01
Snake Pass,69.0,PS4,2017-03-28
Pinball FX,69.0,X360,2007-04-25
Alice in Wonderland,69.0,WII,2010-03-02
Tembo the Badass Elephant,69.0,PC,2015-07-21
Conan,69.0,PS3,2007-10-23
ARK: Survival Evolved,69.0,PS4,2017-08-29
Virtua Tennis 4,69.0,PS3,2011-05-10
Aurion: Legacy of the Kori-Odan,69.0,PC,2016-04-14
Fallout 4: Automatron,69.0,PS4,2016-03-22
Close Combat: First to Fight,69.0,XBOX,2005-04-06
Crash Tag Team Racing,69.0,XBOX,2005-10-20
Imperial Glory,69.0,PC,2005-05-17
Ultimate NES Remix,69.0,3DS,2014-11-07
2010 FIFA World Cup South Africa,69.0,PSP,2010-04-26
FIFA Manager 09,69.0,PC,2008-12-19
Dragon Ball: Xenoverse,69.0,PS4,2015-02-24
Dead or Alive 5: Last Round,69.0,PC,2015-03-30
Megabyte Punch,69.0,PC,2012-05-14
Biology Battle,69.0,X360,2008-11-18
SingStar Rocks!,69.0,PS2,2006-11-14
MotoGP,69.0,PSP,2006-09-26
Serious Sam: Next Encounter,69.0,GC,2004-04-12
Wrath Unleashed,69.0,XBOX,2004-02-10
Jurassic Park: Operation Genesis,69.0,XBOX,2003-03-26
Downforce,69.0,PS2,2002-06-14
Diner Dash,69.0,X360,2009-11-18
Major League Baseball 2K11,69.0,X360,2011-03-08
Domination,69.0,PC,2005-03-03
Dynasty Warriors 5,69.0,PS2,2005-03-29
Invizimals: The Alliance,69.0,VITA,2014-09-30
Safecracker: The Ultimate Puzzle Adventure,69.0,PC,2006-08-02
Armies of Exigo,69.0,PC,2004-11-30
Manticore: Galaxy on Fire,69.0,Switch,2018-04-19
Eiyuu Senki: The World Conquest,69.0,PS3,2015-11-24
Hitman HD Trilogy,69.0,X360,2013-01-29
Call of Duty: Black Ops II - Vengeance,69.0,X360,2013-07-02
Screencheat,69.0,PS4,2016-03-01
Giana Sisters: Twisted Dreams,69.0,X360,2013-03-20
Syndicate (2012),69.0,PC,2012-02-21
Tornado Outbreak,69.0,PS3,2009-09-29
Dead Synchronicity: Tomorrow Comes Today,69.0,PS4,2016-10-04
The Amazing Spider-Man,69.0,X360,2012-06-26
